id,text_type,text
1,script,"Fitness App : Tired of snoozing your fitness goals? With FitFlow, waking up is easy, and working out is even easier! Personalized workouts, real-time tracking, and motivation—right in your pocket.
 Get fit, stay fit. Download FitFlow today!"
2,script,"Product: Organic Skincare Brand : Your skin deserves more than chemicals. Meet GlowPure—100% organic skincare, powered by nature, loved by your skin. Ditch the toxins,
 embrace the glow! Try GlowPure now!"
3,script,"AI-Powered Writing Tool : ""Stuck staring at a blank page? WriteAI turns your ideas into powerful words in seconds! Captions, blogs, scripts—effortless and engaging. Unleash your creativity with WriteAI!"""
4,script,"Wireless Earbuds : No wires. No limits. Just pure sound. BeatX Earbuds—noise-canceling, sweatproof, and all-day battery life. Elevate your music, upgrade your freedom!"
5,script,"Luxury Coffee Brand : One sip, a world of flavors. Handpicked beans, artisan roast—because your mornings deserve more. BrewElite Coffee—luxury in every cup!"
6,caption,"Luxury Watch Ad: ""Time isn’t just money—it’s a statement. ⏳ Elevate your wrist game with elegance. #TimelessStyle"""
7,caption,"Sustainable Clothing Brand: ""Wear your values. 🌱 Fashion that’s kind to the planet, made for you. #EcoChic"""
8,caption,"Tech Startup Promotion: ""Innovation starts here. 🚀 Future-proof your business with cutting-edge solutions. #NextGenTech"""
9,caption,"Fast Food Chain Ad: ""Crispy, juicy, mouthwatering—one bite, and you’re hooked! 🍔🔥 #SatisfyYourCravings"""
10,caption,"Luxury Travel Campaign: ""Because some destinations aren’t just places—they’re experiences. ✈️🌍 #TravelInStyle"""
11,script,"Smart Home Automation :  ""Lights, music, security—control it all with just your voice. Meet HomeGenie, your personal smart home assistant. Convenience redefined. Upgrade today!"""
12,script,"Online Learning Platform : ""Tired of boring lectures? Learn smarter with SkillSprint—interactive courses, expert mentors, and real-world projects. The future of learning is here. Join now!"""
13,script," Electric Bike :  ""Ditch the traffic, save the planet. VoltRide—fast, eco-friendly, and hassle-free. Ride the future today!"""
14,script," Pet Subscription Box : ""Your furry friend deserves the best! PawBox—monthly surprises, tail-wagging happiness. Because pets deserve more!"""
15,script,"Meditation & Sleep App : ""Sleep better, stress less. ZenFlow—your pocket guide to mindfulness and deep relaxation. Download now and find your inner peace!"""
16,caption,"Luxury Car Ad: ""Elegance meets horsepower. 🚗💨 Drive the dream, own the road. #LuxuryOnWheels"""
17,caption,"Gourmet Chocolate Brand: ""Indulgence, redefined. 🍫 One bite, endless pleasure. #PureCocoaBliss"""
18,caption,"Online Dating App: ""Swipe right on love. ❤️ Find your match, start your story. #LoveBeginsHere"""
19,caption,"Home Gym Equipment: ""Train smarter, not harder. 💪 Your gym, your rules. #HomeFitnessRevolution"""
20,caption,"Adventure Gear Brand: ""Gear up, go beyond. 🏔️ Because adventure waits for no one. #ExploreWithoutLimits"""
21,script,"AI-Powered Resume Builder : ""Your resume should open doors, not sit in a pile. Meet ResumePro AI—the fastest way to craft a job-winning resume in seconds! Stand out, get hired. Try it now!"""
22,script,"Cybersecurity Software for Startups : One breach can cost millions. Protect your business with ShieldX—AI-powered security, real-time threat detection, zero worries. Because safety is not an option—it's a must!"""
23,script,"AI-Powered Code Debugger : ""Bugs slowing you down? Meet BugFix AI—your smart debugging assistant. Scan, fix, deploy—without the headache. Code smarter, not harder!"""
24,script,"AI Meeting Summarizer :  ""Too many meetings, not enough time? SummarizeAI turns hours of discussions into crisp, actionable insights. Focus on decisions, not note-taking!"""
25,script," No-Code App Builder for Startups : Build your app, no coding needed! With AppSwift, launch your startup idea in hours, not months. Innovate faster—start building today!"""
26,caption,"Cloud Storage & Backup Service: ""Never lose a file again. ☁️ Secure, sync, and store with CloudVault. #YourDataSafe"""
27,caption,"AI-Powered Customer Support Bot: ""Support that never sleeps. 🤖 Automate 24/7 customer service with HelpBot AI. #SmarterSupport"""
28,caption,"Startup Growth & Funding Platform: ""Ideas need wings. 🚀 Get funding, mentorship, and scale with LaunchPadX. #StartupSuccess"""
29,caption,"SaaS Productivity Tool: ""Get more done, in less time. ⏳ Boost efficiency with TaskFlow—the ultimate productivity hub. #WorkSmart"""
30,caption,"Tech Hiring Platform: ""Find top tech talent, faster. ⚡ AI-driven recruitment with HireTechPro. #NextGenHiring"""
31,script,"Running Shoes :  ""Tired of running like a potato? 🥔 Slip into SwiftKicks 3000, and boom—you’re practically an Olympian (or at least, you’ll feel like one). Faster, lighter, better. Run like you mean it!"""
32,script," Energy Drink : ""Need energy but legally can’t chug three coffees? ☕☕☕ Meet ZapFuel—one sip, and boom! 🚀 Productivity mode: ON. Side effects may include extreme motivation and boss-level energy!"""
33,script,"Dating App : ""Still single? Maybe it’s not you—it’s your dating app. LoveLink finds your match without the awkward ‘hey’ phase. Swipe, chat, date—without the cringe!"""
34,script,"Smart Toothbrush : ""Brushing your teeth or just tickling them? 😂 BrushPro AI makes sure you ACTUALLY clean those pearly whites. Your dentist will finally stop judging you!"""
